,DateRead,influent_mgd,treatFlow_mgd,ammonia_ppm,nitrate_ppm,rain_inches,cluster
123,2019-02-18,389.845337,389.85144,1.262138,3.076794,0.25,0
124,2019-02-20,357.645721,357.649597,0.212383,2.864474,0.73,0
125,2019-02-21,403.365662,403.371185,1.005809,3.25502,0.0,0
126,2019-02-22,361.792542,361.798126,0.518774,3.056879,0.02,0
127,2019-02-23,357.592743,357.598816,0.210428,2.814145,0.15,0
128,2019-02-24,481.827759,507.13974,1.99174,3.156032,0.94,0
129,2019-02-25,359.307068,359.312958,0.658037,2.910105,0.0,0
130,2019-03-01,383.875793,383.881897,0.426463,3.282146,0.64,0
131,2019-03-02,411.083984,411.090088,2.444241,3.152572,0.05,0
132,2019-03-03,388.976929,421.155182,0.221566,3.076643,0.52,0
133,2019-03-04,427.362305,448.240265,2.367732,3.15008,0.01,0
134,2019-03-05,355.242188,355.248047,0.316015,3.259235,0.0,0
135,2019-03-06,341.941895,341.947693,0.347854,2.996239,0.0,0
136,2019-03-08,350.24942,350.254974,0.22594,3.133716,0.21,0
137,2019-03-09,335.663605,335.669373,0.793891,3.143974,0.07,0
138,2019-03-10,419.569946,419.575928,1.435528,3.066432,0.41,0
139,2019-03-11,350.275574,366.392365,0.231669,3.045185,0.0,0
140,2019-03-12,342.781769,342.787872,0.19748,2.931703,0.0,0
141,2019-03-21,442.673798,444.757904,2.150466,3.011691,1.96,0
142,2019-03-22,495.624817,529.140137,1.135865,3.057395,0.09,0
143,2019-03-23,378.799011,379.069305,1.430163,2.996372,0.0,0
144,2019-03-24,343.812897,343.818237,0.598532,3.1886,0.0,0
145,2019-03-25,342.363831,342.369446,0.679296,3.037278,0.0,0
146,2019-04-13,350.897552,350.902527,0.840784,2.33143,0.37,0
147,2019-04-15,362.935577,390.03772,1.564662,2.298282,0.72,0
148,2019-04-26,341.209106,341.214844,0.264971,2.036739,0.59,0
149,2019-05-02,355.853149,367.090515,0.340395,1.706851,0.48,0
150,2019-05-03,339.529114,386.286499,4.073267,1.93772,0.0,0
151,2019-05-05,427.844025,434.523407,1.344651,1.892279,0.65,0
152,2019-05-06,354.3349,405.611572,0.160246,2.002263,0.0,0
153,2019-05-10,341.30899,341.315582,0.193989,2.54904,0.52,0
154,2019-05-11,378.764954,381.316467,2.859993,2.407264,0.41,0
155,2019-05-12,449.686951,488.813416,1.195069,2.584617,0.49,0
156,2019-05-13,458.762573,467.915497,0.103499,2.226131,0.59,0
157,2019-05-14,360.322418,360.327332,0.586337,1.998588,0.0,0
158,2019-05-15,332.98172,332.986603,0.103039,2.120212,0.0,0
159,2019-05-23,341.147705,341.154297,0.221059,2.054984,0.31,0
160,2019-05-28,353.752716,353.760193,0.155257,2.289364,0.19,0
161,2019-06-10,336.316833,336.323792,0.094677,0.939189,0.37,0
162,2019-06-13,376.187744,389.780945,0.378904,2.39994,1.05,0
163,2019-06-18,349.512665,350.936371,1.364397,3.346565,1.16,0
