,DateRead,ammonia_ppm,nitrate_ppm,phosphorus_ppm,influent_mgd,treated_mgd,time,performance,nitrate_load,nitrate_man,nitrate_man3,smooth_nitrate_load
386,2012-11-05 01:00:00,0.099455,1.181594,0.016185,282.024261,282.024261,16.083333333333332,100.0,2779.2063765979638,4649.506332446883,3499.3478722354103,4649.506332446883
387,2012-11-05 02:00:00,0.099564,1.128077,0.017537,270.774719,270.774719,16.125,100.0,2547.4924705959274,4612.100333329904,3463.340797453538,4612.100333329904
388,2012-11-05 03:00:00,0.095966,1.120559,0.017983,244.729446,244.731323,16.166666666666668,100.00076696941487,2287.1272939901055,4570.808176075225,3417.5483811106574,4570.808176075225
389,2012-11-05 04:00:00,0.113736,1.163483,0.016926,224.609573,224.609573,16.208333333333332,100.0,2179.48736132181,4525.134558433523,3361.0273267546295,4525.134558433523
390,2012-11-05 05:00:00,0.10403,1.226531,0.019738,216.136337,216.139389,16.25,100.00141207167769,2210.947852152522,4478.221614491288,3301.9503284829884,4478.221614491288
391,2012-11-05 06:00:00,0.112372,1.284861,0.019913,197.74295,197.74295,16.291666666666668,100.0,2118.962185362783,4432.876139244512,3247.400204666465,4432.876139244512
392,2012-11-05 07:00:00,0.102123,1.432088,0.020272,198.576218,198.577026,16.333333333333332,100.00040689666069,2371.7273319258015,4386.597860166877,3190.9783037012808,4386.597860166877
393,2012-11-05 08:00:00,0.105069,1.470962,0.015979,203.074478,203.074478,16.375,100.0,2491.2817681673523,4346.300449602055,3150.0157551125067,4346.300449602055
394,2012-11-05 09:00:00,0.110681,1.507324,0.017515,232.424149,232.424149,16.416666666666668,100.0,2921.823073047082,4309.200075973361,3117.079055765249,4309.200075973361
395,2012-11-05 10:00:00,0.094819,1.625991,0.017624,247.500366,247.500122,16.458333333333332,99.9999014142872,3356.2909770633228,4281.452535914835,3107.3162566293404,4281.452535914835
396,2012-11-05 11:00:00,0.106433,1.679057,0.017264,261.467682,261.467682,16.5,100.0,3661.4196420771896,4262.949304737805,3119.7649926510394,4262.949304737805
397,2012-11-05 12:00:00,0.107193,1.648717,0.017242,279.970154,279.970551,16.541666666666668,100.00014180082925,3849.679005821779,4250.918711484592,3146.8477251223467,4250.918711484592
398,2012-11-05 13:00:00,0.105395,1.714381,0.017242,285.900543,285.900543,16.583333333333332,100.0,4087.788106466084,4242.893917371335,3181.989289157318,4242.893917371335
399,2012-11-05 14:00:00,0.09809,1.812007,0.017602,283.86734,283.86734,16.625,100.0,4289.842523642509,4239.79180115323,3227.2792300227566,4239.79180115323
400,2012-11-05 15:00:00,0.095858,1.916947,0.017264,285.381683,285.381683,16.666666666666668,100.0,4562.49341942222,4240.792815603016,3280.407394703744,4240.792815603016
401,2012-11-05 16:00:00,0.106541,1.899882,0.017242,296.160522,296.160522,16.708333333333332,100.0,4692.66817411909,4247.226827679399,3344.511695939668,4247.226827679399
402,2012-11-05 17:00:00,0.107193,1.807815,0.016883,296.755798,296.755249,16.75,99.99981499940229,4474.231444527597,4256.135654608192,3411.9195198486386,4256.135654608192
403,2012-11-05 18:00:00,0.096401,1.769262,0.016861,290.191193,290.191193,16.791666666666668,100.0,4281.958249249779,4260.49757040658,3465.0351160825862,4260.49757040658
404,2012-11-05 19:00:00,0.095749,1.705378,0.01758,282.996948,283.00058,16.833333333333332,100.001283406067,4025.0755124144616,4260.926783983444,3505.881272740946,4260.926783983444
405,2012-11-05 20:00:00,0.097547,1.72757,0.017264,283.019135,283.019135,16.875,100.0,4077.7209612132633,4256.209758552064,3531.840984724621,4256.209758552064
406,2012-11-05 21:00:00,0.103052,1.700337,0.017602,289.949097,289.949402,16.916666666666668,100.00010519087769,4111.717547546273,4252.6399826052875,3559.1349835490532,4252.6399826052875
407,2012-11-05 22:00:00,0.099781,1.700048,0.017264,290.442017,290.442017,16.958333333333332,100.0,4118.0031867742455,4249.821533904107,3586.764111748914,4249.821533904107
408,2012-11-05 23:00:00,0.099564,1.851273,0.016523,284.374207,284.374207,17.0,100.0,4390.628789571361,4247.18516696151,3613.3260655001804,4247.18516696151
409,2012-11-06 00:00:00,0.106759,1.91217,0.017198,278.073242,278.073242,17.041666666666668,100.0,4434.572415033867,4250.054039413707,3652.1912017037394,4250.054039413707
410,2012-11-06 01:00:00,0.098199,2.005967,0.016883,247.533478,247.533478,17.083333333333332,100.0,4141.176862115305,4253.74440692611,3691.3102623702453,4253.74440692611
