t,srtSRTtotal,biothickl21(1),biothickl21(2),profile1xbhl21(1),profile1xbhl21(2),profile1xbhl21(3),profile1xbhl21(4),profile1xbhl21(5),profile1xbhl21(6),profile1xbail21(1),profile1xbail21(2),profile1xbail21(3),profile1xbail21(4),profile1xbail21(5),profile1xbail21(6),profile1xbaal21(1),profile1xbaal21(3),profile1xbaal21(4),profile1xbaal21(5),profile1xbaal21(6),innero2masstransl21(1),innero2masstransl21(2),q11,x11,vss11,scod11,cod11,bod11,snh11,tkn11
days,d,m,m,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,mgCOD/L,kg/d,kg/d,MGD(US),mg/L,mg/L,mgCOD/L,mgCOD/L,mgO2/L,mgN/L,mgN/L
1.95,0.1768,0.0002264,0.0002227,93.39,40340,33640,22780,15300,11750,5.393,2521,12730,12920,9665,7622,1.63,4380,5002,3981,3217,1.26E+31,1.26E+31,29.17,12.87,8.469,6.673,20.04,8.994,3.726,5.108
2,0.2225,0.0002276,0.0002242,102.3,41600,33590,22720,15270,11740,5.904,2582,12770,12920,9662,7619,1.783,4378,4993,3977,3215,1.26E+31,1.26E+31,23.35,11.82,7.783,6.724,19,8.627,3.717,5.042
2.05,0.2955,0.0002304,0.0002269,125.8,44180,33600,22670,15250,11720,7.259,2710,12830,12940,9666,7620,2.189,4381,4991,3976,3215,1.26E+31,1.26E+31,21.34,10.19,6.726,6.82,17.43,8.055,3.727,4.965
2.1,0.3499,0.0002315,0.0002285,136.8,45240,33660,22620,15230,11710,7.886,2754,12890,12980,9677,7622,2.376,4389,4994,3977,3215,1.26E+31,1.26E+31,18.88,9.193,6.077,6.945,16.53,7.738,3.742,4.934
2.15,0.4134,0.0002329,0.00023,153,46460,33750,22580,15210,11700,8.811,2810,12970,13030,9695,7628,2.652,4399,5001,3981,3217,1.26E+31,1.26E+31,17.03,8.302,5.502,7.081,15.76,7.466,3.747,4.903
2.2,0.4799,0.000234,0.0002313,168.2,47440,33860,22550,15200,11690,9.676,2853,13060,13090,9719,7637,2.909,4412,5013,3988,3221,1.26E+31,1.26E+31,15.06,7.572,5.03,7.225,15.16,7.255,3.747,4.877
2.25,0.5613,0.0002353,0.0002327,187.9,48510,33990,22530,15180,11690,10.8,2901,13150,13160,9749,7649,3.244,4427,5030,3998,3225,1.26E+31,1.26E+31,13.05,6.887,4.586,7.37,14.6,7.055,3.745,4.853
2.3,0.6524,0.0002366,0.0002342,213.7,49660,34150,22520,15170,11690,12.26,2952,13240,13250,9787,7664,3.679,4444,5050,4010,3232,1.26E+31,1.26E+31,12.34,6.222,4.151,7.503,14.05,6.852,3.74,4.826
2.35,0.7108,0.0002372,0.0002351,225.7,50060,34310,22520,15170,11680,12.93,2965,13340,13350,9831,7682,3.878,4462,5074,4025,3239,1.26E+31,1.26E+31,12.23,5.771,3.858,7.628,13.71,6.726,3.728,4.805
2.4,0.7519,0.0002374,0.0002354,228,50020,34460,22520,15160,11680,13.06,2959,13440,13450,9879,7702,3.912,4481,5101,4041,3248,1.26E+31,1.26E+31,10.4,5.502,3.686,7.746,13.56,6.661,3.701,4.779
2.45,0.842,0.0002386,0.0002364,260.4,51010,34620,22530,15160,11690,14.89,3005,13540,13560,9933,7724,4.458,4502,5130,4060,3258,1.26E+31,1.26E+31,10.32,5.082,3.41,7.836,13.21,6.516,3.659,4.726
2.5,0.9026,0.0002388,0.000237,265.4,51070,34770,22550,15160,11690,15.16,3001,13640,13680,9990,7749,4.536,4522,5162,4080,3268,1.26E+31,1.26E+31,8.986,4.84,3.254,7.914,13.04,6.43,3.599,4.665
2.55,1.002,0.0002398,0.0002378,296.2,51800,34920,22570,15160,11690,16.89,3033,13750,13810,10050,7776,5.05,4544,5196,4101,3280,1.26E+31,1.26E+31,8.158,4.511,3.037,7.976,12.76,6.299,3.533,4.591
