,influent
371,336.5977416573005
372,330.0964833181003
373,278.68996833639966
374,319.58653167329857
375,305.824020001
376,325.1362783150998
377,320.973229989302
378,307.9452199953011
379,257.1635200062991
380,300.8894233265006
381,339.152304978703
382,300.40901166370105
383,325.3775500071003
384,332.0912549842997
385,343.92818498410253
386,321.62317332020064
387,317.00074333709966
388,343.495083335402
389,334.5482216665
390,344.4344149965005
391,324.77525166059974
392,360.62264998369943
393,335.0660833249005
394,299.9976649969002
395,337.2307200024015
396,323.17288666390044
397,326.99345667149976
398,309.1294183399018
399,373.30917497209913
400,321.81722333090073
401,339.36595999100103
402,333.71235000550007
403,342.53196667169993
404,352.60582500130045
405,316.6500616734986
406,338.7897750021995
407,336.64588165719954
408,321.6343483321013
409,320.7227083285982
410,322.1165533307993
411,339.6749449981992
412,304.63270500130034
413,320.58683833159955
414,303.9691599997004
415,300.6415100116015
416,242.00276167209947
417,288.58623167430073
418,266.3553950022007
419,319.12096999740135
420,336.70972833980073
421,320.6809966756002
422,346.8660899969004
423,333.42043665940224
424,308.81930166430004
425,268.69720000219877
426,282.30277334479996
427,291.7565849934004
428,263.49053333539973
429,333.3386516562002
430,315.5149700079985
431,330.14414499990005
432,350.51587831980197
433,375.7757449720996
434,338.6871699848997
435,312.08209834210004
436,314.104220010399
437,270.9639750035001
438,317.0837633397001
439,355.36128500040275
440,341.4613716712005
441,317.8423466776986
