,mean_prcp_imp,prcp_1yr,prcp_2yr,prcp_5yr,int_one,int_two,int_five,influent_flow_imp,complete_flow_imp,ammonia_ppm_imp,nitrate_ppm_imp,nitrite_ppm_imp,TIN,performance,Label
120,0.0,0.0,0.0,0.0,0.0,0.0,0.0,411.35,511.42,0.7061,3.799743,0.034026999999999995,4.53987,75.67278473319556,411.3500061035156
121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.9,517.96,0.7061,3.799743,0.034021,4.539864,76.05647284039242,417.8999938964844
122,0.0,0.0,0.0,0.0,0.0,0.0,0.0,424.14,524.15,0.5997180000000001,3.813155,0.033264,4.446137,76.42052152591124,424.1400146484375
123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,421.65,520.95,0.486755,3.827209,0.033264,4.3472279999999985,76.44966204197794,421.6499938964844
124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418.7,518.81,0.486755,3.827209,0.033264,4.3472279999999985,76.09027943635061,418.70001220703125
125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,417.6,517.68,0.486755,3.827209,0.033264,4.3472279999999985,76.0344827586207,417.6000061035156
126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401.68,501.73,0.486755,3.827209,0.033264,4.3472279999999985,75.09211312487551,401.67999267578125
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0,344.38,443.83,0.486755,3.827209,0.033239,4.347203,71.1220163772577,344.3800048828125
128,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.82,447.08,0.354493,3.829445,0.030212,4.21415,71.4622505893853,347.82000732421875
129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,358.47,456.57,0.215911,3.831787,0.030212,4.07791,72.63369319608337,358.4700012207031
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.02,457.35,0.215911,3.831787,0.030212,4.07791,72.96539081162156,360.0199890136719
131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.24,457.53,0.215911,3.831787,0.030212,4.07791,72.99300466355764,360.239990234375
132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,360.82,458.48,0.215911,3.831787,0.030212,4.07791,72.93387284518596,360.82000732421875
133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.25,456.1,0.215911,3.831787,0.030218,4.077916,73.04105775922058,359.25
134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.9,456.16,0.1563,3.827316,0.030975,4.014591,73.25368157821615,359.8999938964844
135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,359.71,455.44,0.093841,3.822632,0.030975,3.9474480000000005,73.38689499874899,359.7610971069336
136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,354.17,449.93,0.093841,3.822632,0.030975,3.9474480000000005,72.96213682694753,354.1700134277344
137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,347.02,442.34,0.093841,3.822632,0.030975,3.9474480000000005,72.53184254509827,347.0199890136719
138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,324.4,419.91,0.093841,3.822632,0.030975,3.9474480000000005,70.5579531442663,324.3999938964844
139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.89,381.06,0.093841,3.822632,0.030962,3.947435,66.24311137632068,284.35320373535154
140,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.22,387.6,0.095704,3.822632,0.029449,3.9477849999999997,66.44614430432087,290.2200012207031
141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.4,385.3,0.097656,3.822632,0.029449,3.9497370000000003,65.93597773138482,287.5729977416992
142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.5,386.97,0.097656,3.822632,0.029449,3.9497370000000003,65.40173913043476,288.101591796875
143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,286.93,385.83,0.097656,3.822632,0.029449,3.9497370000000003,65.53166277489285,286.92999267578125
144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.58,388.08,0.097656,3.822632,0.029449,3.9497370000000003,65.98521997375511,289.5799865722656
145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.43,386.61,0.097656,3.822632,0.029452,3.94974,65.96054501958879,288.45669219970705
146,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.4,386.5,0.094862,3.817416,0.029831,3.942109,65.98474341192787,288.3999938964844
147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.51,386.34,0.091934,3.811951,0.029831,3.9337160000000004,66.09129666216076,288.510009765625
148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.22,385.81,0.091934,3.811951,0.029831,3.9337160000000004,66.14044826868366,288.2200012207031
149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.45,385.01,0.091934,3.811951,0.029831,3.9337160000000004,66.06018437989215,287.45001220703125
150,0.0,0.0,0.0,0.0,0.0,0.0,0.0,287.48,384.57,0.091934,3.811951,0.029831,3.9337160000000004,66.22721580631698,287.4800109863281
151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,283.16,380.09,0.091934,3.811951,0.029828,3.9337129999999996,65.76847012289873,283.1600036621094
152,0.0,0.0,0.0,0.0,0.0,0.0,0.0,281.57,378.4,0.092865,3.80748,0.029449,3.929794,65.61068295628085,281.57000732421875
153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,234.87,331.52,0.093841,3.802795,0.029449,3.926085,58.84957636139142,234.8699951171875
154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.61,316.94,0.093841,3.802795,0.029449,3.926085,56.33470830878022,220.61000061035156
155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.63,319.61,0.093841,3.802795,0.029449,3.926085,57.08089254572285,223.6300048828125
156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227.09,322.93,0.093841,3.802795,0.029449,3.926085,57.796468360561896,227.08999633789062
157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,229.7,325.08,0.093841,3.802795,0.029465,3.926101,58.476273400087074,229.6999969482422
158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,230.77,325.77,0.09291,3.796834,0.031357,3.921101,58.833470555098174,230.77000427246094
159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245.7,340.5,0.091934,3.790588,0.031357,3.913879,61.41636141636141,245.6999969482422
160,0.0,0.0,0.0,0.0,0.0,0.0,0.0,251.2,346.18,0.091934,3.790588,0.031357,3.913879,62.18949044585986,251.1999969482422
161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,252.5,349.59,0.091934,3.790588,0.031357,3.913879,61.54851485148516,252.9829978942871
162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.28,350.59,0.091934,3.790588,0.031357,3.913879,61.58006948831334,253.27999877929688
163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,253.13,341.58,0.091934,3.790588,0.031341,3.913863,65.05748034606724,253.1300048828125
164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,254.37,346.86,0.092865,3.755567,0.029449,3.877881,63.63958013916735,254.3699951171875
165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.29,359.9,0.093841,3.718872,0.029449,3.842162,64.33714048776811,265.2900085449219
166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,293.47,387.87,0.093841,3.718872,0.029449,3.842162,67.83316863733944,293.4700012207031
167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,289.65,383.8,0.093841,3.718872,0.029449,3.842162,67.49525289142066,289.6499938964844
168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288.29,382.7,0.093841,3.718872,0.029449,3.842162,67.25172569287872,288.2900085449219
169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.29,363.91,0.093841,3.718872,0.029465,3.842178,75.4969379725615,292.2900085449219
170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294.56,359.69,0.093841,3.673419,0.031357,3.798617000000001,77.88905486148833,294.55999755859375
171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295.82,360.51,0.093841,3.625793,0.031357,3.7509910000000004,78.13197214522344,295.82000732421875
